index,src_out_result,src_ref_result,out_ref_result,HTER
0,[0.38971978],[0.50386119],[0.66617791],10.0
1,[0.13346563],[0.15490023],[0.00617024],26.666666666666668
2,[0.24722918],[0.53884712],[0.24878864],0.0
3,[0.3959707],[0.3992674],[0.88974359],25.0
4,[0.18826608],[0.22558562],[0.30524579],0.0
5,[0.29424501],[0.28584995],[0.57716999],0.0
6,[0.54173669],[0.29047619],[0.40308123],0.0
7,[0.21116809],[0.21709402],[0.29519468],0.0
8,[0.49090909],[0.49090909],[1.],0.0
9,[0.30076712],[0.11120026],[0.20718722],0.0
10,[0.61505376],[0.53175751],[0.56842788],0.0
11,[0.35533769],[0.69869281],[0.42657952],0.0
12,[0.32171277],[0.3804331],[0.43244495],0.0
13,[0.11593386],[0.24691084],[0.13096218],2.5
14,[0.07516623],[0.19494101],[0.18959907],13.043478260869565
15,[0.28597779],[0.43730472],[0.46516093],0.0
16,[0.37316017],[0.37316017],[1.],0.0
17,[0.52773109],[0.25524573],[0.39950344],3.571428571428571
18,[0.18624011],[0.52170623],[0.3494324],0.0
19,[0.28913985],[0.40681348],[0.55271974],0.0
20,[0.31063545],[0.35732441],[0.64909699],40.0
21,[0.35913132],[0.08898195],[0.15684887],54.054054054054056
22,[0.13315412],[0.41891496],[0.16487455],13.043478260869565
23,[0.4504644],[0.44788442],[0.40849673],0.0
24,[0.40196078],[0.43223254],[0.50980392],18.181818181818183
25,[0.44807938],[0.47336954],[0.4495951],19.047619047619047
26,[0.05417014],[0.22065259],[0.16766851],31.818181818181817
27,[0.20216074],[0.33581028],[0.31193676],33.33333333333333
28,[0.44396285],[0.32796698],[0.24912281],14.285714285714285
29,[0.26452312],[0.2377989],[0.78803764],3.8461538461538463
30,[0.38850575],[0.27957185],[0.44832451],44.44444444444444
31,[0.34363969],[0.3739566],[0.46285844],6.521739130434782
32,[0.55362917],[0.46033712],[0.32108703],38.46153846153847
33,[0.33218776],[0.16145802],[0.24227558],5.0
