index,suggestion_last_translation_result,HTER
0,[0.45796022],10.0
1,[0.34823611],26.666666666666668
2,[1.],0.0
3,[0.2551567],25.0
4,[1.],0.0
5,[1.],0.0
6,[1.],0.0
7,[1.],0.0
8,[1.],0.0
9,[1.],0.0
10,[0.9999946],0.0
11,[1.],0.0
12,[1.],0.0
13,[0.24083879],2.5
14,[0.58256758],13.043478260869565
15,[1.],0.0
16,[1.],0.0
17,[0.92996633],3.571428571428571
18,[1.],0.0
19,[0.99998727],0.0
20,[0.88873451],40.0
21,[0.37419459],54.054054054054056
22,[0.07297165],13.043478260869565
23,[1.],0.0
24,[0.262044],18.181818181818183
25,[0.53312315],19.047619047619047
26,[0.38392092],31.818181818181817
27,[0.89730388],33.33333333333333
28,[0.08235294],14.285714285714285
29,[0.32387238],3.8461538461538463
30,[0.14772374],44.44444444444444
31,[0.59087052],6.521739130434782
32,[0.62301003],38.46153846153847
33,[0.70466358],5.0
34,[1.],0.0
35,[1.],0.0
36,[0.93771203],8.695652173913043
37,[1.],0.0
38,[1.],0.0
39,[1.],0.0
40,[1.],0.0
41,[0.92369205],12.12121212121212
42,[0.67526717],5.555555555555555
43,[1.],0.0
44,[1.],0.0
45,[1.],0.0
46,[1.],0.0
47,[1.],0.0
48,[1.],0.0
49,[1.],0.0
50,[1.],0.0
51,[1.],0.0
52,[1.],0.0
53,[0.872334],16.666666666666664
54,[1.],0.0
55,[1.],0.0
56,[1.],0.0
57,[1.],0.0
58,[0.22222222],55.55555555555556
59,[0.97934147],2.941176470588235
60,[0.51185423],12.5
61,[0.36429964],9.090909090909092
62,[1.],0.0
63,[0.65272543],17.391304347826086
64,[0.58870127],22.727272727272727
65,[1.],0.0
66,[0.55513388],7.4074074074074066
67,[1.],0.0
68,[1.],0.0
69,[1.],0.0
70,[0.981426],2.941176470588235
71,[1.],0.0
72,[1.],0.0
73,[1.],0.0
74,[0.93880542],4.545454545454546
75,[0.41900748],5.0
76,[1.],0.0
77,[1.],0.0
78,[1.],0.0
79,[1.],0.0
80,[1.],0.0
81,[1.],0.0
82,[1.],0.0
83,[1.],0.0
84,[1.],0.0
