lang	dataset	user_type	original_id	gender	segment	tgt	raw_word_count	time_to_edit	suggestion	secs_per_word	parsed_time_to_edit	last_translation	HTER
es	mtgen_a	professional	1025	M	Politkovskaya worked for Izvestia from 1982 to 1993 as a reporter and editor of the emergencies and accidents section.	Politkovskaya trabajó para Izvestia de 1982 a 1993 como reportero y editor de la sección de urgencias y accidentes.	19	31214	Politkovskaya trabajó para Izvestia de 1982 a 1993 como reportera y editora de la sección de emergencias y accidentes.	1.6	0:00:31	Politkovskaya trabajó para Izvestia de 1982 a 1993 como reportero y editor de la sección de emergencias y accidentes.	10.0
es	mtgen_a	professional	849	M	It was staffed by a matron, storekeeper, clerk, four assistants to matron, a portress, gate keeper and constable and seven monitresses.	Los empleados era un matrón, un tendero, un oficinista, cuatro asistentes de la matrona, un portero, un conserje, un agente y siete monitores.	21	119957	Estaba atendido por una matrona, un tendero, un empleado, cuatro asistentes de la matrona, una portera, un portero y un alguacil y siete vigilantes.	5.7	0:02:00	Estaba atendido por un matrón, un tendero, un empleado, cuatro asistentes del matrón, un portero, un guardia y un alguacil y siete vigilantes.	26.666666666666668
es	mtgen_a	professional	565	M	Andreeva then worked as a press officer for the Bulgarian commissioner.	Andreeva luego trabajó como funcionario de prensa para el comisionado búlgaro.	11	0	Andreeva luego trabajó como responsable de prensa del comisario búlgaro.	0.0	0:00:00	Andreeva luego trabajó como responsable de prensa del comisario búlgaro.	0.0
es	mtgen_a	professional	879	M	MacDonald also served as an editor and writer at Publishers Weekly.	MacDonald también ejerció como editor y escritor en Publishers Weekly.	11	12181	MacDonald también se desempeñó como editor y escritor en Publishers Weekly.	1.1	0:00:12	MacDonald también ejerció de editor y escritor en Publishers Weekly.	25.0
es	mtgen_a	professional	877	M	Seidelman earned an MFA from NYU's Tisch School of the Arts and is an adjunct professor in the school's film department, overseeing students' thesis films.	Seidelman obtuvo un MFA en la Facultad Tisch de Artes de la Universidad de Nueva York y es profesor adjunto en el departamento cinematográfico de la facultad, donde supervisa las películas de las tesis de los estudiantes.	25	0	Seidelman obtuvo un MFA de la Escuela de Artes Tisch de la Universidad de Nueva York y es profesor adjunto en el departamento de cine de la escuela, supervisando las películas de tesis de los estudiantes.	0.0	0:00:00	Seidelman obtuvo un MFA de la Escuela de Artes Tisch de la Universidad de Nueva York y es profesor adjunto en el departamento de cine de la escuela, supervisando las películas de tesis de los estudiantes.	0.0
es	mtgen_a	professional	582	M	Alsop is to hold the title of chief conductor designate with immediate effect, through the 2018–2019 season.	Alsop va a ostentar el título de director jefe designado con efecto inmediato durante la temporada 2018-2019.	18	0	Alsop ostentará el título de director titular designado con efecto inmediato, durante la temporada 2018-2019.	0.0	0:00:00	Alsop ostentará el título de director titular designado con efecto inmediato, durante la temporada 2018-2019.	0.0
es	mtgen_a	professional	682	M	Grunberg is a prolific and versatile writer.	Grunberg es un prolífico y versátil escritor.	7	0	Grunberg es un escritor prolífico y versátil.	0.0	0:00:00	Grunberg es un escritor prolífico y versátil.	0.0
es	mtgen_a	professional	1016	M	Balukas was not just talented at pool but was an all-around good athlete.	Balukas no solo tenía talento en el billar sino que era un buen atleta en todos los aspectos.	13	0	Balukas no sólo tenía talento en el billar, sino que también era un buen atleta en todos los aspectos.	0.0	0:00:00	Balukas no sólo tenía talento en el billar, sino que también era un buen atleta en todos los aspectos.	0.0
es	mtgen_a	professional	1038	M	Machar was a prolific writer.	Machar fue un escritor prolífico.	5	0	Machar fue un escritor prolífico.	0.0	0:00:00	Machar fue un escritor prolífico.	0.0
es	mtgen_a	professional	1054	M	Unprepared lawyers suffered the consequences, but the vigorous questioning was an aid to lawyers seeking to tailor their arguments to the judge's concerns.	Los abogados sin preparación sufrieron las consecuencias, pero el intenso interrogatorio ayudó a los abogados que buscaban ajustar sus argumentos a las preocupaciones del juez.	23	0	Los abogados no preparados sufrieron las consecuencias, pero el enérgico interrogatorio fue de ayuda para los abogados que buscaban adaptar sus argumentos a las preocupaciones del juez.	0.0	0:00:00	Los abogados no preparados sufrieron las consecuencias, pero el enérgico interrogatorio fue de ayuda para los abogados que buscaban adaptar sus argumentos a las preocupaciones del juez.	0.0
es	mtgen_a	professional	834	M	Hiller was elected a member of the Prussian Academy of Arts in 1849, and in 1868 received the title of doctor from the University of Bonn.	Hiller fue elegido miembro de la Academia de Artes de Prusia en 1849, y en 1868 recibió el título de doctor por la Universidad de Bonn.	26	0	Hiller fue elegido miembro de la Academia Prusiana de las Artes en 1849 y en 1868 recibió el título de doctor por la Universidad de Bonn.	0.0	0:00:00	Hiller fue elegido miembro de la Academia Prusiana de las Artes en 1849 y en 1868 recibió el título de doctor por la Universidad de Bonn.	0.0
es	mtgen_a	professional	756	M	The defence lawyer told the court that Q was a fantasist.	El abogado defensor le dijo a la corte que Q era fantasioso.	11	0	El abogado defensor dijo al tribunal que Q era un fantasioso.	0.0	0:00:00	El abogado defensor dijo al tribunal que Q era un fantasioso.	0.0
